Map Detail Name,ANZSOC Division,ANZSOC Group,Area Unit,Country,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Selected Detail Level,Ta2014 Nam,Geometry,Geometry (MB2014 GV Clipped.shp),Geometry (REGC2014 GV Clipped.shp),Geometry (TA2014 GV Clipped.shp),Number of Victimisations,Selected Geographic Level ,Victimisations
Auckland,Harm or endanger persons,Abduction or kidnapping,Newton.,NZ,Auckland Region,Auckland.,1/03/2024,0412100,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Papatoetoe East.,NZ,Auckland Region,Auckland.,1/03/2024,0667802,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Randwick Park.,NZ,Auckland Region,Auckland.,1/02/2024,0759715,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Auckland Central East.,NZ,Auckland Region,Auckland.,1/04/2024,0438404,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Mt Wellington South.,NZ,Auckland Region,Auckland.,1/04/2024,0637500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Takanini West.,NZ,Auckland Region,Auckland.,1/03/2024,0767922,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Wiri.,NZ,Auckland Region,Auckland.,1/01/2024,0780507,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Henderson South.,NZ,Auckland Region,Auckland.,1/10/2024,0242700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Henderson South.,NZ,Auckland Region,Auckland.,1/04/2025,0241800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Papakura East.,NZ,Auckland Region,Auckland.,1/03/2024,0800000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Hauraki.,NZ,Auckland Region,Auckland.,1/03/2024,0325402,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Ambury.,NZ,Auckland Region,Auckland.,1/03/2025,0721400,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,2,MultiPolygon,2
Auckland,Harm or endanger persons,Abduction or kidnapping,Dingwall.,NZ,Auckland Region,Auckland.,1/09/2024,0666301,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Tidal-Waitemata Harbour.,NZ,Auckland Region,Auckland.,1/02/2024,,Auckland Region,Teritorial Authority,Auckland,,,MultiPolygon,MultiPolygon,2,MultiPolygon,2
Auckland,Harm or endanger persons,Abduction or kidnapping,Rosehill.,NZ,Auckland Region,Auckland.,1/08/2023,0804200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Harania West.,NZ,Auckland Region,Auckland.,1/02/2024,0734502,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Point Chevalier South.,NZ,Auckland Region,Auckland.,1/04/2025,0391200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Onehunga North West.,NZ,Auckland Region,Auckland.,1/12/2023,0594500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Kohimarama West.,NZ,Auckland Region,Auckland.,1/07/2024,0505101,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Ocean View.,NZ,Auckland Region,Auckland.,1/04/2025,0362000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Viscount.,NZ,Auckland Region,Auckland.,1/02/2025,0739901,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,3,MultiPolygon,3
Auckland,Harm or endanger persons,Abduction or kidnapping,Pukekohe North.,NZ,Auckland Region,Auckland.,1/01/2024,0819100,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Clendon South.,NZ,Auckland Region,Auckland.,1/02/2025,0774449,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Auckland Central West.,NZ,Auckland Region,Auckland.,1/06/2025,0435100,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Takanini South.,NZ,Auckland Region,Auckland.,1/05/2024,0766302,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Mangere Station.,NZ,Auckland Region,Auckland.,1/08/2024,0749500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Campbells Bay.,NZ,Auckland Region,Auckland.,1/01/2025,0148500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Auckland Central West.,NZ,Auckland Region,Auckland.,1/05/2025,0433700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Mt Wellington North.,NZ,Auckland Region,Auckland.,1/03/2025,0627206,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Awaruku.,NZ,Auckland Region,Auckland.,1/01/2024,0166406,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Wiri.,NZ,Auckland Region,Auckland.,1/11/2023,0780700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Papatoetoe East.,NZ,Auckland Region,Auckland.,1/01/2025,0668400,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Mt Albert Central.,NZ,Auckland Region,Auckland.,1/11/2023,0527300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Bucklands and Eastern Beaches.,NZ,Auckland Region,Auckland.,1/04/2025,0675804,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Sandringham West.,NZ,Auckland Region,Auckland.,1/01/2024,0542300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,2,MultiPolygon,2
Auckland,Harm or endanger persons,Abduction or kidnapping,Pukekohe West.,NZ,Auckland Region,Auckland.,1/03/2025,0821700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Glenavon.,NZ,Auckland Region,Auckland.,1/05/2025,0379401,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Owairaka West.,NZ,Auckland Region,Auckland.,1/01/2025,0518900,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Millhouse.,NZ,Auckland Region,Auckland.,1/11/2023,0711174,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Manurewa Central.,NZ,Auckland Region,Auckland.,1/01/2025,0751500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Hingaia.,NZ,Auckland Region,Auckland.,1/03/2025,0806700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Kingseat.,NZ,Auckland Region,Auckland.,1/08/2023,0810605,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Tuff Crater.,NZ,Auckland Region,Auckland.,1/10/2024,0364200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Pakuranga Central.,NZ,Auckland Region,Auckland.,1/11/2023,0687600,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Surrey Crescent.,NZ,Auckland Region,Auckland.,1/11/2024,0405800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Ormiston.,NZ,Auckland Region,Auckland.,1/03/2025,0712401,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Walmsley.,NZ,Auckland Region,Auckland.,1/05/2024,0574800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Puhinui North.,NZ,Auckland Region,Auckland.,1/06/2025,0671200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Leabank.,NZ,Auckland Region,Auckland.,1/07/2024,0771500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Newmarket.,NZ,Auckland Region,Auckland.,1/04/2025,0450200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Meadowbank North.,NZ,Auckland Region,Auckland.,1/03/2025,0461500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Point England.,NZ,Auckland Region,Auckland.,1/06/2025,0477400,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,St Heliers.,NZ,Auckland Region,Auckland.,1/10/2024,0510901,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Harm or endanger persons,Abduction or kidnapping,Mt Albert Central.,NZ,Auckland Region,Auckland.,1/01/2024,0527000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
