service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20251002,20251201
Daily-2,1,1,1,1,1,1,1,20251002,20251201
Daily-3,1,1,1,1,1,1,1,20251002,20251201
Daily-4,1,1,1,1,1,1,1,20251002,20251201
Daily-5,1,1,1,1,1,1,1,20251002,20251201
ExSat-1,1,1,1,1,1,0,1,20251002,20251201
ExSun-1,1,1,1,1,1,1,0,20251002,20251201
ExTue-1,1,0,1,1,1,1,1,20251002,20251201
FriSat-1,0,0,0,0,1,1,0,20251002,20251201
FriSat-2,0,0,0,0,1,1,0,20251002,20251201
FriSatSun-1,0,0,0,0,1,1,1,20251002,20251201
Friday-1,0,0,0,0,1,0,0,20251002,20251201
Friday-2,0,0,0,0,1,0,0,20251002,20251201
Friday-3,0,0,0,0,1,0,0,20251002,20251201
Friday-4,0,0,0,0,1,0,0,20251002,20251017
Friday-5,0,0,0,0,1,0,0,20251002,20251201
Friday-6,0,0,0,0,1,0,0,20251018,20251201
Other-1,0,0,0,0,0,0,0,20251002,20251201
Other-10,0,0,0,0,0,0,0,20251002,20251201
Other-11,0,0,0,0,0,0,0,20251002,20251201
Other-12,0,0,0,0,0,0,0,20251002,20251201
Other-13,0,0,0,0,0,0,0,20251002,20251201
Other-14,0,0,0,0,0,0,0,20251002,20251201
Other-15,0,0,0,0,0,0,0,20251002,20251201
Other-16,0,0,0,0,0,0,0,20251002,20251201
Other-17,0,0,0,0,0,0,0,20251002,20251201
Other-18,0,0,0,0,0,0,0,20251002,20251201
Other-19,0,0,0,0,0,0,0,20251002,20251201
Other-2,0,0,0,0,0,0,0,20251002,20251201
Other-20,0,0,0,0,0,0,0,20251002,20251201
Other-21,0,0,0,0,0,0,0,20251002,20251201
Other-22,0,0,0,0,0,0,0,20251002,20251201
Other-23,0,0,0,0,0,0,0,20251002,20251201
Other-24,0,0,0,0,0,0,0,20251002,20251201
Other-25,0,0,0,0,0,0,0,20251002,20251201
Other-26,0,0,0,0,0,0,0,20251002,20251201
Other-27,0,0,0,0,0,0,0,20251002,20251201
Other-28,0,0,0,0,0,0,0,20251002,20251201
Other-29,0,0,0,0,0,0,0,20251002,20251201
Other-3,0,0,0,0,0,0,0,20251002,20251201
Other-30,0,0,0,0,0,0,0,20251002,20251201
Other-31,0,0,0,0,0,0,0,20251002,20251201
Other-32,0,0,0,0,0,0,0,20251002,20251201
Other-33,0,0,0,0,0,0,0,20251002,20251201
Other-34,0,0,0,0,0,0,0,20251002,20251201
Other-35,0,0,0,0,0,0,0,20251002,20251201
Other-36,0,0,0,0,0,0,0,20251002,20251201
Other-37,0,0,0,0,0,0,0,20251002,20251201
Other-38,0,0,0,0,0,0,0,20251002,20251201
Other-39,0,0,0,0,0,0,0,20251002,20251201
Other-4,0,0,0,0,0,0,0,20251002,20251201
Other-40,0,0,0,0,0,0,0,20251002,20251201
Other-41,0,0,0,0,0,0,0,20251002,20251201
Other-42,0,0,0,0,0,0,0,20251002,20251017
Other-43,0,0,0,0,0,0,0,20251002,20251017
Other-44,0,0,0,0,0,0,0,20251002,20251017
Other-45,0,0,0,0,0,0,0,20251002,20251201
