Area Unit,Total Victimisations
Abbotts Park.,9
Akarana.,22
Albany.,72
Ambury.,7
Aorere.,23
Arahanga.,8
Arch Hill.,12
Ardmore.,10
Army Bay.,10
Auckland Central East.,334
Auckland Central West.,582
Auckland Harbourside.,298
Avondale South.,8
Avondale West.,20
Awaruku.,7
Awhitu.,4
Balmoral.,16
Baverstock Oaks.,13
Bays-Waiheke Island.,1
Bayswater.,5
Beachhaven North.,37
Beachhaven South.,17
Beachlands-Maraetai.,20
Beaumont.,26
Birdwood East.,4
Birdwood West.,4
Birkdale North.,16
Birkdale South.,6
Birkenhead East.,13
Bledisloe Park.,40
Blockhouse Bay.,14
Bombay.,4
Bremner.,3
Browns Bay.,27
Buckland.,2
Bucklands Beach South.,5
Bucklands and Eastern Beaches.,10
Burbank.,19
Burswood.,9
Campbells Bay.,9
Cape Rodney South.,6
Cape Rodney.,5
Castor Bay.,1
Chelsea.,6
Clendon North.,15
Clendon South.,39
Clevedon.,15
Clover Park.,15
Cockle Bay.,5
Crown Hill.,2
Crum Park.,3
Dairy Flat-Redvale.,5
Dannemora.,27
Dingwall.,44
Donegal Park.,48
Drury.,26
Durham Green.,9
Eden Road-Hill Top.,3
Eden Terrace.,15
Edgewater.,24
Edmonton.,29
Ellerslie North.,7
Ellerslie South.,17
Elsmore Park.,11
Epsom Central.,9
Epsom North.,12
Epsom South.,3
Fairburn.,48
Fairdene.,68
Fairview.,8
Favona North.,4
Favona South.,13
Favona West.,19
Ferguson.,19
Ferndale.,11
Forrest Hill.,5
Freemans Bay.,54
Fruitvale.,20
Glamorgan.,3
Glen Eden East.,50
Glen Innes East.,10
Glen Innes North.,6
Glen Innes West.,58
Glenavon.,45
Glenbrook.,10
Glendene North.,16
Glendene South.,17
Glendhu.,15
Glendowie.,5
Glenfield Central.,29
Glenfield North.,23
Golfland.,2
Grafton East.,109
Grafton West.,29
Grange.,9
Great Barrier Island.,4
Green Bay.,18
Greenhithe.,8
Greenmount.,26
Grey Lynn East.,32
Grey Lynn West.,10
Gulf Harbour.,11
Half Moon Bay.,2
Hamlin.,37
Harania East.,18
Harania North.,12
Harania West.,40
Hatfields Beach.,2
Hauraki.,8
Helensville South.,1
Helensville.,12
Henderson North.,86
Henderson South.,147
Henderson West.,3
Herald.,1
Herne Bay.,4
Highbrook.,14
Highland Park.,12
Hillpark.,58
Hillsborough East.,9
Hillsborough West.,14
Hingaia.,7
Hobsonville East.,29
Hobsonville South.,4
Homai East.,46
Homai West.,11
Howick Central.,16
Howick South.,12
Howick West.,4
Huapai.,13
Hunua.,4
Hyperion.,11
Inlet-Kaipara Harbour South.,1
Inlet-Waitemata Harbour.,3
Kaipatiki.,24
Karekare.,9
