Map Detail Name,ANZSOC Division,ANZSOC Group,Area Unit,Country,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Selected Detail Level,Ta2014 Nam,Geometry,Geometry (MB2014 GV Clipped.shp),Geometry (REGC2014 GV Clipped.shp),Geometry (TA2014 GV Clipped.shp),Number of Victimisations,Selected Geographic Level ,Victimisations
Auckland,Assault,Other serious assault,Inlet-Waitemata Harbour.,NZ,Auckland Region,Auckland.,1/03/2025,,Auckland Region,Teritorial Authority,Auckland,,,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Oceanic-Auckland Region East.,NZ,Auckland Region,Auckland.,1/11/2024,,Auckland Region,Teritorial Authority,Auckland,,,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Assault of a police officer,Sandringham East.,NZ,Auckland Region,Auckland.,1/01/2025,0538500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Waiheke Island.,NZ,Auckland Region,Auckland.,1/10/2024,0516509,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Bays-Waiheke Island.,NZ,Auckland Region,Auckland.,1/03/2025,,Auckland Region,Teritorial Authority,Auckland,,,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Waiheke Island.,NZ,Auckland Region,Auckland.,1/12/2024,0515314,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Waiheke Island.,NZ,Auckland Region,Auckland.,1/01/2025,0515614,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Assault of a police officer,Waiheke Island.,NZ,Auckland Region,Auckland.,1/11/2024,0515307,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Weymouth East.,NZ,Auckland Region,Auckland.,1/11/2024,0774101,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Mangere South.,NZ,Auckland Region,Auckland.,1/02/2025,0727200,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Mangere South.,NZ,Auckland Region,Auckland.,1/09/2024,0726000,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Mission Bay.,NZ,Auckland Region,Auckland.,1/02/2025,0501901,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Three Kings.,NZ,Auckland Region,Auckland.,1/07/2025,0563300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Assault of a police officer,Waiheke Island.,NZ,Auckland Region,Auckland.,1/12/2024,0515901,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Takanini South.,NZ,Auckland Region,Auckland.,1/09/2024,0765700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Arahanga.,NZ,Auckland Region,Auckland.,1/12/2024,0737103,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Weymouth West.,NZ,Auckland Region,Auckland.,1/09/2024,0773818,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Three Kings.,NZ,Auckland Region,Auckland.,1/04/2025,0560500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Great Barrier Island.,NZ,Auckland Region,Auckland.,1/02/2025,0438700,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,MultiPolygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Assault of a police officer,Middlemore.,NZ,Auckland Region,Auckland.,1/02/2025,0786500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Otahuhu West.,NZ,Auckland Region,Auckland.,1/02/2025,0784400,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Army Bay.,NZ,Auckland Region,Auckland.,1/11/2024,0175113,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Other serious assault,Pahurehure.,NZ,Auckland Region,Auckland.,1/04/2025,0805601,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Assault,Common assault,Waiheke Island.,NZ,Auckland Region,Auckland.,1/02/2025,0516702,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,2,MultiPolygon,2
