Map Detail Name,ANZSOC Division,ANZSOC Group,Area Unit,Country,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Selected Detail Level,Ta2014 Nam,Geometry,Geometry (MB2014 GV Clipped.shp),Geometry (REGC2014 GV Clipped.shp),Geometry (TA2014 GV Clipped.shp),Number of Victimisations,Selected Geographic Level ,Victimisations
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Tuff Crater.,NZ,Auckland Region,Auckland.,1/08/2023,,Auckland Region,Teritorial Authority,Auckland,Polygon,,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Non-aggravated robbery,Auckland City-Marinas.,NZ,Auckland Region,Auckland.,1/03/2025,,Auckland Region,Teritorial Authority,Auckland,,,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Non-aggravated robbery,Otahuhu West.,NZ,Auckland Region,Auckland.,1/03/2024,0783000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,2,MultiPolygon,2
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Papakura North.,NZ,Auckland Region,Auckland.,1/08/2023,0790800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Takanini South.,NZ,Auckland Region,Auckland.,1/01/2025,0765700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Papatoetoe West.,NZ,Auckland Region,Auckland.,1/04/2025,0781003,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Blackmail or other extortion,Fairburn.,NZ,Auckland Region,Auckland.,1/10/2024,0788601,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Ferndale.,NZ,Auckland Region,Auckland.,1/02/2024,0644000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Mellons Bay.,NZ,Auckland Region,Auckland.,1/10/2023,0651800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Blackmail or other extortion,Waiheke Island.,NZ,Auckland Region,Auckland.,1/02/2025,0516201,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Dingwall.,NZ,Auckland Region,Auckland.,1/01/2024,0667400,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,"Robbery, blackmail, and extortion",Aggravated robbery,Mangere Bridge.,NZ,Auckland Region,Auckland.,1/04/2024,0725900,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
